S,I,R
0.9224083739382614,0.14978770785128406,0.01942823930252226
0.8710131708187068,0.14123600263775843,0.06498490548895805
0.8161567984761696,0.17157489026441602,0.10894964781247402
0.7968800919624849,0.16564722050014807,0.14871150015703055
0.7171090508662139,0.15454570846791454,0.15670932808418006
0.6911108875360549,0.18169735145677998,0.23852470245437923
0.6132331630235048,0.1993306332841958,0.27862250581186426
0.602457973961501,0.1787314595155322,0.32868718501468197
0.5564309230648858,0.18868177576978906,0.3793342987322525
0.48325256529182076,0.18314376883585845,0.4044252531596874
0.4608274765717756,0.14010319496298682,0.42533397115272303
0.4414214540183112,0.13833948471232166,0.46652302812773694
0.4193941275066851,0.11752948024618533,0.4984785795870157
0.4177987426924406,0.14592986093696977,0.5330923200308071
0.3689880449946105,0.13246182167188728,0.5684941133504379
0.3767214686473803,0.11442964706429774,0.617878283890265
0.3587519729185532,0.1127557452623254,0.6352730581162931
0.350145155225168,0.09949025567291209,0.6364742886660817
0.361112681714473,0.06810757529511803,0.6514244944611105
0.3206686640927211,0.045210808617011725,0.6963183460934925
0.33242361179629,0.08028533356980186,0.7073646321537866
